"anon_sname","age_first_birth","cumulative_adversity","pop_growth_two_years","group_size","lifespan_years","ibi_years","lrs","rain_first_year"
1,6.510609172,3,0.00120355,8,9.412731006,1.85078713202178,2,337
2,5.429158111,1,0.001263979,7,21.85900068,1.53840803212545,12,605.8
3,5.28678987,1,0.001028655,15,NA,NA,NA,237.1
4,6.351813826,3,0.001072663,9,8.845995893,NA,3,228
5,6.926762491,NA,0.001181335,18,12.07939767,NA,2,NA
6,6.12183436,2,0.000910262,9,NA,NA,NA,165.1
7,5.048596851,NA,0.001661717,14,8.733744011,1.52051073360304,3,188.8
8,5.80971937,3,0.000775243,18,6.360027379,NA,1,243.7
9,5.681040383,2,0.001084792,31,NA,NA,NA,192
10,6.078028747,1,0.001134616,21,16.5174538,1.95493134929217,6,337
11,6.672142368,1,0.000845666,31,NA,NA,NA,349.7
12,5.77412731,1,0.001242716,19,21.07049966,1.97323609211499,8,529.8
13,5.371663244,0,0.00110011,10,NA,NA,NA,424.4
14,6.110882957,2,0.00094043,2,NA,NA,NA,137.7
15,7.134839151,2,0.00107905,11,11.06091718,NA,2,228
16,5.853524983,NA,0.001196282,14,12.69815195,2.32881530007976,4,NA
17,6.108145106,2,0.001366004,24,24.28747433,1.854924258761,10,158.9
19,6.266940452,NA,0.000818331,19,21.52498289,2.05475020613812,8,262.6
20,6.7816564,1,0.000634768,26,NA,NA,NA,247
23,6.959616701,1,0.001098113,22,7.808350445,NA,1,249.2
24,7.170431211,3,0.001350761,20,NA,NA,NA,262.5
25,5.798767967,1,0.000916108,24,6.061601643,NA,1,304.8
27,6.562628337,2,0.000856317,7,NA,NA,NA,317.7
28,6.92128679,2,0.000778399,26,NA,NA,NA,198
29,6.343600274,3,0.00093372,14,NA,NA,NA,192
30,6.198494182,1,0.001110651,21,7.698836413,1.23203285449976,2,261.4
31,6.672142368,2,0.000971507,22,NA,NA,NA,412.3
32,6.151950719,NA,0.000605144,14,27.68240931,2.166442192423,8,NA
33,4.936344969,NA,0.001426479,9,12.47912389,1.35737393692368,6,419
34,6.072553046,NA,0.001480975,12,21.2128679,2.19252726852226,8,421.3
35,6.19301848,1,0.001366004,24,21.95482546,1.95601037026333,9,158.9
36,5.708418891,NA,0.000845371,7,14.08350445,1.71249171360065,5,377.8
37,5.538672142,1,0.001174715,10,13.11704312,1.71358829385207,6,216.3
38,6.028747433,2,0.000998682,24,12.90896646,1.80383831243292,5,338.9
39,6.05338809,NA,0.001034713,19,NA,NA,NA,262.2
40,7.542778919,0,0.00116132,4,15.91512663,1.72234875988094,5,294.3
41,5.579739904,1,0.000719798,18,14.74058864,2.30611725044923,5,257.8
42,6.332648871,NA,0.001507613,13,25.07597536,1.57094250574445,10,265.7
43,5.971252567,0,0.001140953,20,NA,NA,NA,553.1
44,5.607118412,0,0.00107999,12,NA,NA,NA,559.2
45,7.351129363,3,0.000713715,15,NA,NA,NA,140.9
46,5.94934976,2,0.000939243,22,6.412046543,NA,1,322.6
47,6.179329227,1,0.001082902,9,7.485284052,NA,1,228
48,6.770704997,0,0.00093428,20,NA,NA,NA,381.1
49,6.762491444,0,0.000889235,18,NA,NA,NA,307.8
50,6.729637235,NA,0.00135985,18,15.25804244,2.28289314399534,5,NA
51,6.078028747,0,0.001094199,15,NA,NA,NA,346.2
52,6.53798768,2,0.001032196,20,NA,NA,NA,381.7
53,6.340862423,NA,0.000896836,17,NA,NA,NA,381.1
54,5.478439425,0,0.001106459,20,NA,NA,NA,551.9
