anon_sname,rain_first_year
1,337
2,605.8
3,237.1
4,228
5,NA
6,165.1
7,188.8
8,243.7
9,192
10,337
11,349.7
12,529.8
13,424.4
14,137.7
15,228
16,NA
17,158.9
18,262.5
19,262.6
20,247
21,307.5
22,134.1
23,249.2
24,262.5
25,304.8
26,721.7
27,317.7
28,198
29,192
30,261.4
31,412.3
32,NA
33,419
34,421.3
35,158.9
36,377.8
37,216.3
38,338.9
39,262.2
40,294.3
41,257.8
42,265.7
43,553.1
44,559.2
45,140.9
46,322.6
47,228
48,381.1
49,307.8
50,NA
51,346.2
52,381.7
53,381.1
54,551.9
55,518.5
56,456.2
57,254.9
58,NA
59,337
60,418.2
61,145.5
62,367.9
63,262.2
64,226
65,145.5
66,245.9
67,381.1
68,208.5
69,145.5
70,494.3
71,271.9
72,266.4
73,278.5
74,459.7
75,158.9
76,271.9
77,339.7
78,381.1
79,424.5
80,192
81,407.4
82,414.2
83,456.4
84,713.2
85,264.6
86,252.5
87,275.6
88,228
89,767
90,192
91,242.4
92,270.8
93,NA
94,132.1
95,310.6
96,451.9
97,337
98,219.8
99,149.2
100,504.8
101,377.5
102,330.8
103,326.2
104,192
105,348.9
106,340.2
107,537.9
108,311.2
109,270.4
110,191.2
111,347.6
112,360.4
113,389.8
114,459.4
115,265.5
116,504.4
117,448.2
118,126
119,296.9
120,192
121,249.8
122,219.8
123,343.3
124,347.9
125,91.7
126,337
127,219.5
128,218.5
129,540.1
130,504.8
131,232.9
132,767
133,346
134,377.5
135,371.7
136,517.9
137,164.8
138,380.1
139,358.6
140,461.3
141,294.7
142,543.8
143,275.2
144,412.3
145,334.7
146,221.6
147,380.1
148,221.6
149,390.3
150,145.5
151,179.3
152,NA
153,221.6
154,172.9
155,424.5
156,150.9
157,308.9
158,412.6
159,340.7
160,NA
161,145.5
162,294.5
163,378.8
164,547.3
165,115.6
166,291.3
167,341.8
168,358.8
169,412.3
170,151.4
171,262.6
172,218.8
173,226.3
174,245.3
175,262.5
176,230.6
177,222.1
178,338.2
179,244.6
180,208.4
181,158.9
182,423.5
183,412.3
184,456.1
185,NA
186,221
187,208.4
188,221.6
189,501.7
190,359.4
191,223.1
192,473
193,337
194,346
195,277.2
196,145.5
197,453.1
198,211.8
199,718.8
200,177.3
201,179.6
202,343.3
203,462.7
204,159.7
205,261.4
206,255.3
207,279.9
208,268.6
209,359.7
210,145.5
211,279.9
212,91.7
213,415.5
214,275.6
215,337.9
216,211.8
217,262.5
218,NA
219,268.8
220,504.8
221,424.3
222,342.4
223,459.7
224,364.5
225,542.5
226,286.4
227,277.2
228,423.5
229,180.2
230,216.3
231,390.4
232,238.9
233,NA
234,NA
235,NA
236,380.7
237,277.2
238,371.5
239,257.1
240,322.1
241,381.1
242,296.9
243,321
244,265.7
245,349.8
246,436.8
247,473
248,358.2
249,177.8
250,263.2
251,415
252,337
253,337
254,317.4
255,500
256,228
257,377
258,645
259,290.7
260,373.5
261,354.4
262,503
263,719.4
264,412.3
265,262.5
266,194.9
267,326.2
268,421.7
269,195.2
270,277
271,208.4
272,306.3
273,367.2
274,339.7
275,229.6
276,423
277,363.6
278,549.7
279,216.3
280,342.6
281,272.5
282,263.7
283,261.4
284,228.8
285,221
286,192
287,484.8
288,140.9
289,390.4
290,319.2
291,229.6
292,221.6
293,263.7
294,342
295,140.9
296,221.6
297,517.9
298,377.4
299,372.7
300,381.1
301,297.6
302,229.6
303,195.2
