"anon_sname","lifespan_years","avg_log_ibi","lrs"
1,9.412731006,6.516193076,2
2,21.85900068,6.331330187,12
4,8.845995893,NA,3
5,12.07939767,NA,2
7,8.733744011,6.319628338,3
8,6.360027379,NA,1
10,16.5174538,6.570937128,6
12,21.07049966,6.580256932,8
15,11.06091718,NA,2
16,12.69815195,6.745941734,4
17,24.28747433,6.518425915,10
19,21.52498289,6.620736337,8
23,7.808350445,NA,1
25,6.061601643,NA,1
30,7.698836413,6.109247583,2
32,27.68240931,6.67366833,8
33,12.47912389,6.206133955,6
34,21.2128679,6.685636933,8
35,21.95482546,6.571488924,9
36,14.08350445,6.438531503,5
37,13.11704312,6.43917164,6
38,12.90896646,6.490498841,5
40,15.91512663,6.444270968,5
41,14.74058864,6.736147317,5
42,25.07597536,6.352257812,10
46,6.412046543,NA,1
47,7.485284052,NA,1
50,15.25804244,6.726025612,5
56,14.37097878,6.48661803,6
58,14.93223819,6.601484809,5
59,13.01848049,6.538541584,4
60,11.51813826,6.478509642,4
63,19.09650924,6.74222106,6
64,15.32648871,6.29156914,6
70,10.18480493,6.32256524,4
71,14.39288159,6.472214147,5
73,13.57152635,6.66057515,4
74,19.18959617,6.421635111,9
75,20.24093087,6.454300891,8
76,12.60780287,NA,2
77,9.80698152,6.689599269,2
83,17.56605065,6.488129359,7
84,19.86584531,6.549960993,8
86,19.24982888,6.362185667,9
88,9.00752909,NA,2
89,16.96372348,6.315471887,9
90,11.31279945,6.986566459,2
91,9.80698152,6.81014245,3
93,19.57837098,6.682930136,6
95,26.74058864,6.50634482,9
97,10.68856947,6.419862283,3
100,16.98562628,6.548505945,6
101,13.45106092,6.633174473,4
102,8.490075291,NA,3
103,23.14579055,6.340432938,11
105,12.73648186,NA,4
107,16.64887064,6.437141804,7
111,13.25393566,6.314655181,6
112,18.39561944,6.376489629,8
113,17.14715948,6.832118202,6
115,20.75564682,6.364741149,10
119,10.5982204,6.538139824,2
121,12.30937714,6.378652614,4
122,25.16084873,6.323956679,11
123,17.08966461,6.720429087,6
124,10.92950034,NA,2
132,19.35660507,6.476526289,9
134,15.72621492,6.522058263,6
137,6.507871321,NA,1
139,25.28131417,6.468133009,8
145,9.631759069,6.717804695,2
152,17.92197125,6.619543649,7
153,13.51950719,6.705639095,4
154,14.30527036,6.469193997,6
155,9.623545517,6.620073207,2
156,8.955509925,6.651571874,2
158,21.69472964,6.513700329,10
160,11.90417522,6.74051936,3
163,12.30937714,6.598872697,5
166,9.993155373,NA,2
167,18.36824093,6.589901104,7
168,21.81519507,6.63809343,8
171,14.04517454,NA,4
173,18.49691992,6.734716755,6
174,17.07049966,6.866933284,7
177,8.97467488,6.556778356,2
178,7.241615332,NA,1
180,16.07665982,6.55526236,6
181,21.54688569,6.220085853,11
182,8.254620123,6.618738984,2
184,10.10540726,NA,1
185,18.12457221,6.464697458,7
186,8.177960301,NA,1
187,12.5338809,6.231132025,5
188,11.51540041,NA,2
194,6.759753593,NA,1
195,11.75359343,6.530909501,3
202,22.4202601,6.372240577,12
203,7.282683094,NA,1
204,6.116358658,NA,1
208,18.05886379,6.412574778,8
210,8.791238877,NA,1
212,9.382614648,6.704414355,2
213,9.278576318,6.638567789,2
218,14.91854894,6.439279018,6
219,11.37850787,NA,4
220,6.814510609,NA,1
221,14.11909651,6.701933199,4
222,10.9705681,NA,3
223,19.86858316,6.439350371,8
225,16.40520192,6.270026654,8
226,7.474332649,NA,3
227,11.00616016,6.408983193,3
231,8.454483231,6.541029999,2
233,15.06913073,6.509928787,6
234,8.73100616,NA,2
235,11.78644764,6.612712627,4
237,6.836413415,NA,1
239,6.154688569,NA,1
245,13.47570157,6.438145927,5
247,22.23134839,6.339139502,12
248,7.898699521,NA,2
249,14.04517454,6.556778356,5
251,23.71800137,6.314241822,14
252,18.9650924,6.485994782,7
253,19.69609856,6.669365407,6
254,25.89185489,6.383215359,13
255,10.88843258,6.234410726,4
256,23.91786448,6.4754745,9
257,21.5578371,6.349093849,11
261,18.5982204,6.348525042,9
262,15.59753593,6.432525822,7
263,21.5742642,6.643055944,9
266,10.75975359,6.17586727,4
267,22.02874743,6.490690906,9
268,14.37645448,6.331774511,5
270,9.609856263,6.142037406,4
273,21.7412731,6.468717339,9
276,19.60574949,6.410430031,9
277,24.02190281,6.339923809,12
280,13.09514031,6.438335587,4
281,5.486652977,NA,1
289,6.22587269,NA,1
294,8.123203285,NA,1
301,9.174537988,6.84694314,2
