"anon_sname","age_first_birth","cumulative_adversity_three_plus","pop_growth_two_years","group_size_females_first_birth"
1,6.510609172,3,0.00120355,8
2,5.429158111,1,0.001263979,7
3,5.28678987,1,0.001028655,15
4,6.351813826,3,0.001072663,9
5,6.926762491,NA,0.001181335,18
6,6.12183436,2,0.000910262,9
7,5.048596851,NA,0.001661717,14
8,5.80971937,3,0.000775243,18
9,5.681040383,2,0.001084792,31
10,6.078028747,1,0.001134616,21
11,6.672142368,1,0.000845666,31
12,5.77412731,1,0.001242716,19
13,5.371663244,0,0.00110011,10
14,6.110882957,2,0.00094043,2
15,7.134839151,2,0.00107905,11
16,5.853524983,NA,0.001196282,14
17,6.108145106,2,0.001366004,24
19,6.266940452,NA,0.000818331,19
20,6.7816564,1,0.000634768,26
23,6.959616701,1,0.001098113,22
24,7.170431211,3,0.001350761,20
25,5.798767967,1,0.000916108,24
27,6.562628337,2,0.000856317,7
28,6.92128679,2,0.000778399,26
29,6.343600274,3,0.00093372,14
30,6.198494182,1,0.001110651,21
31,6.672142368,2,0.000971507,22
32,6.151950719,NA,0.000605144,14
33,4.936344969,NA,0.001426479,9
34,6.072553046,NA,0.001480975,12
35,6.19301848,1,0.001366004,24
36,5.708418891,NA,0.000845371,7
37,5.538672142,1,0.001174715,10
38,6.028747433,2,0.000998682,24
39,6.05338809,NA,0.001034713,19
40,7.542778919,0,0.00116132,4
41,5.579739904,1,0.000719798,18
42,6.332648871,NA,0.001507613,13
43,5.971252567,0,0.001140953,20
44,5.607118412,0,0.00107999,12
45,7.351129363,3,0.000713715,15
46,5.94934976,2,0.000939243,22
47,6.179329227,1,0.001082902,9
48,6.770704997,0,0.00093428,20
49,6.762491444,0,0.000889235,18
50,6.729637235,NA,0.00135985,18
51,6.078028747,0,0.001094199,15
52,6.53798768,2,0.001032196,20
53,6.340862423,NA,0.000896836,17
54,5.478439425,0,0.001106459,20
55,5.716632444,0,0.001234229,17
56,5.511293634,NA,0.000681199,16
57,6.061601643,2,0.001205336,21
58,6.368240931,NA,0.000605144,14
59,6.39835729,2,0.001112628,21
60,5.957563313,NA,0.001367829,12
61,6.275154004,3,0.000742698,2
62,6.0862423,3,0.000931283,10
63,6.863791923,NA,0.001034713,19
64,5.853524983,2,0.001283752,24
66,7.488021903,NA,0.000773972,3
68,6.940451745,1,0.000955499,20
69,6.387405886,3,0.000683381,18
70,4.936344969,NA,0.001256964,13
71,6.242299795,NA,0.001300083,15
72,6.833675565,1,0.001156911,24
73,7.504449008,1,0.000792737,26
74,6.395619439,NA,0.001490128,21
75,5.965776865,2,0.001283258,24
76,6.598220397,NA,0.00139389,16
